State Code,2020-01-30,2020-02-02,2020-02-03,2020-02-14,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,
AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,15,15,16,16,26,32,32,32,32,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,35,35,35,37,37,40,41,41,43,43,45,45,45,50,51,54,66,72,74,74,74,83,92,92,100,109,129,130,133,142,145,145,151,159,163,170,174,176,180,192,196,201,201,214,226,242,263,277,326,355,425,
AP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,5,5,5,6,10,10,10,12,12,16,20,20,35,42,65,92,96,120,141,145,171,231,235,258,287,321,403,441,488,524,589,729,780,842,887,925,998,1056,1142,1192,1252,1353,1456,1552,1621,1664,1705,1731,1779,1841,1892,2017,2065,2133,2234,2289,2340,2374,2414,2464,2529,2565,2640,2669,2711,2759,2869,2968,3091,3185,3316,3385,3513,3641,3772,3905,4111,4307,4435,4592,4779,4988,5196,5480,5908,6232,6511,6988,7313,7632,8008,8422,8920,9745,11101,12154,13194,14393,15412,16464,17467,18378,19393,20298,21763,22890,24228,25574,32127,37555,39935,43255,46301,49558,52622,55406,60024,63864,76614,82886,88672,95625,104354,112870,120464,
AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,4,4,6,7,7,7,10,11,14,15,21,22,38,38,42,49,54,60,61,62,66,71,75,76,78,92,105,109,120,120,125,138,145,153,153,153,175,274,282,285,303,314,334,392,428,505,574,617,677,827,918,969,996,1063,1105,1210,1245,1326,
AS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,9,12,17,19,19,19,19,19,19,27,27,27,29,29,33,33,33,33,33,35,35,35,35,35,40,40,40,40,41,41,42,42,42,49,55,55,57,58,63,63,88,104,126,164,186,285,338,414,460,510,589,637,785,1097,1249,1433,1585,1806,1961,2206,2412,2643,2849,3067,3203,3405,3566,3763,3959,4034,4248,4815,5089,5334,5648,5832,6107,6328,6744,7434,7942,8330,8727,9148,9849,10427,10895,11417,12174,12889,13555,14106,15166,16024,17096,18034,19351,20700,21762,23056,24041,25403,26619,27833,29081,30358,31443,32385,33429,34422,35893,37225,38810,
BR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,9,15,15,15,15,15,26,28,29,29,37,37,42,42,42,42,42,44,44,45,56,56,64,64,84,98,117,124,127,158,158,218,267,318,354,377,382,400,412,440,473,473,517,517,571,571,629,653,702,733,800,918,1050,1209,1311,1520,1741,1803,2025,2120,2233,2298,2405,2542,2770,2934,3086,3316,3686,3975,4226,4571,4776,4961,5098,5367,5631,5767,6027,6106,6480,6669,6930,7156,7374,7544,7811,7994,8211,8488,8765,9014,9338,9541,9792,10251,10991,11953,12364,13019,13533,14101,14997,15771,16597,17535,18741,19876,20959,22832,24520,26308,27844,29220,30504,31673,33650,35473,36637,38508,40760,42370,43820,46265,
CH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,7,7,7,7,7,7,7,7,9,9,9,9,13,14,14,14,14,15,15,17,17,17,17,18,18,19,19,21,21,21,21,21,24,24,28,30,30,37,40,51,51,54,57,136,178,178,179,179,187,187,187,189,189,199,199,214,214,214,222,273,273,274,285,285,289,293,295,295,295,301,302,306,306,315,316,316,322,322,322,329,335,335,336,349,364,367,389,393,395,395,401,401,402,403,408,413,417,423,446,459,476,480,485,488,518,518,526,531,535,555,572,575,599,611,647,667,683,698,706,715,715,777,820,
CT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,3,8,8,9,9,9,9,9,10,10,13,17,23,24,25,25,25,25,28,30,30,32,32,32,34,34,36,36,36,36,36,36,36,36,38,43,49,53,54,55,56,56,58,59,59,59,59,59,62,64,64,67,79,83,83,100,102,114,121,130,170,206,231,259,266,335,347,351,421,544,631,719,843,934,1099,1202,1305,1368,1421,1487,1527,1601,1729,1885,1937,2062,2150,2250,2303,2362,2414,2526,2578,2644,2728,2835,2903,3028,3070,3153,3202,3275,3324,3451,3512,3658,3775,3944,4114,4230,4387,4567,4683,4944,5172,5439,5636,5921,6230,6610,6991,7256,7613,7871,8088,8319,
DL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,8,8,16,16,16,20,21,25,27,27,28,31,31,41,52,72,207,290,431,611,724,808,857,869,877,877,1078,1092,1094,1167,1256,1362,1431,1468,1542,1931,2020,2020,2069,2129,2512,2858,3045,3518,3926,4202,4485,4750,5192,5567,5897,6267,6540,6771,6954,7264,7495,7846,8075,8478,8746,9243,9542,9898,10315,10664,10999,11357,11861,12245,12731,13398,14945,15823,16427,16500,17457,21341,23569,31294,33013,36602,39313,41437,44765,47091,49301,52607,56235,58348,59992,63007,65624,68256,71339,72088,74217,78199,82226,84694,87692,89968,91312,93236,95699,97693,99301,101274,103134,104918,106118,107650,109065,110931,113068,114875,116372,117507,118633,119724,120930,122131,123317,124254,125226,126116,127124,128232,
DN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,9,12,14,14,26,27,27,27,30,38,50,56,69,75,82,109,112,133,142,159,175,185,196,206,225,237,268,310,343,371,392,414,436,450,465,475,490,513,531,544,565,597,648,667,684,725,755,804,866,920,961,997,1038,
GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,5,5,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,16,16,16,19,28,37,38,41,42,44,50,57,57,57,65,65,65,67,67,67,67,69,70,74,85,85,96,109,118,129,135,152,205,289,335,370,420,478,524,596,670,734,772,825,936,1061,1156,1207,1273,1347,1428,1487,1540,1607,1674,1817,1946,2038,2218,2361,2449,2541,2655,2865,3047,3277,3410,3595,3784,4005,4211,4438,4668,4876,5114,5287,5453,5595,
